#Spaans
#Uit "prisma - spaans leer je zo"
# paragraaf 37, 53 
#question1=Wat is "" in het Spaans?
#question2=Wat is "" in het Nederlands?
#paragraaf 37
bueno, goed
el hotel, het hotel
la habitacíon, de hotelkamer
el vestíbulo, de hal
el viajero, de reiziger
el gerente, de directeur
¿cómo?, hoe?
desear, wensen
exterior, buitenkant
interior, binnenkant
eso me es igual, het is mij om het even
eso, dat
igual, gelijk
desearia, ik wil graag
dos, twee
contiguo, aan elkaar grenzend
a ser posible, zo mogelijk
soleadas, zonnig
creo, ik geloof
creer, geloven
complacer, tevreden stellen
enseñar, laten zien
el cuarto, de kamer
aún, nog
disponible, beschikbaar
dirá, hij zal zeggen
decir, zeggen
el precio, de prijs
decidirse, beslissen
subamos, laten we naar boven gaan
con, met
el ascensor, de lift
parecer, schijnen / lijken
reunir, verenigen
gustar, bevallen
sean, ze zijn
muy, zeer
caro, duur
costar, kosten
ochenta, tachtig
diario, dagelijks
cada una, ieder
resultar, blijken
puedo, ik kan
ofrecer, aanbieden
otras dos, nog twee
al precio de, tegen de prijs van
sesenta, zestig
también, ook
el agua, het water
agua corriente, stromend water
caliente, warm
frio, koud
la calefacción, de verwarming
la luz eléctrica, het electrische licht
#paragraaf 53
la capital, de hoofdstad
la residencia, de residentie
el gobierno, de regering
la población, de bevolking
en cuanto a, wat betreft
la condición, de voorwaarde
ubarno, stedelijk
en este punto, in dit opzicht
el punto, het punt
aventajar, overtreffen
en los últimos años, in de laatste jaren
el año, het jaar
realizar, tot stand brengen
la mejora, de verbetering
grande, groot
se han ensanchado, ze zijn verbreed
ensanchar, verbreden
la calle, de straat
mucho, veel
el barrio, de buurt
moderno, modern
la construcción, de bouw
tienen poco que envidiar a, ze doen niet onder voor
el mundo, de wereld
antiguo, ouderwets
el aspecto, de aanblik
pintoresco, pittoresk
el recuerdo, de herinnering
histórico, historisch
el interés, het belang
alguno, enige
porque, omdat
no hay ninguna otra ciudad, er is geen enkele andere stad
la ciudad, de stad
ninguno, geen enkele
otro, andere
menos, minder
la villa, de gemeente
la corte, de hofstad
como, als
a veces, soms
llamar, roepen / noemen
edificar, bouwen
sobre, bovenop
la colina, de heuvel
pardo, grauw
escaso, gering
la elevación, de hoogte
hacia, naar
el centro, het centrum
la llanura, de vlakte
desigual, ongelijk
limitado, begrensd
limitar, begrenzen
la estribación, de uitloper
primero, de eerste
la sierra, het gebergte
